,country,cnt,formatted_address,latitude,longitude,accuracy,google_place_id,type,postcode,number_of_results,status
22,Kagawa,71,,,,,,,,0,ZERO_RESULTS
29,-,49,,,,,,,,0,ZERO_RESULTS
30,Miyazaki,46,,,,,,,,0,ZERO_RESULTS
106,Kurgan,6,,,,,,,,0,ZERO_RESULTS
107,Ohiggins,6,,,,,,,,0,ZERO_RESULTS
163,Northern_China,2,,,,,,,,0,ZERO_RESULTS
165,SVA210317SZ0321,1,,,,,,,,0,ZERO_RESULTS
166,Victoria,1,,,,,,,,0,ZERO_RESULTS
172,Fukushima,1,,,,,,,,0,ZERO_RESULTS
179,SVA210217SZ0303,1,,,,,,,,0,ZERO_RESULTS
188,Miyagi,1,,,,,,,,0,ZERO_RESULTS
191,UFTt2203,1,,,,,,,,0,ZERO_RESULTS
195,22P019377,1,,,,,,,,0,ZERO_RESULTS
202,1,1,,,,,,,,0,ZERO_RESULTS
